masa,sabor,activo
Clásica,Dulce,true
Clásica,Salado,true
Clásica,Neutro,true
Clásica,Oreo,true
Integral,Dulce,true
Integral,Salado,true
Integral,Neutro,true
Proteica,Dulce,true
